Region,Country,Country_income_level,Organization_name,Type_of_organization,Organization_description,Sector,URL,City,State_County,Founding_year,Size,Type_of_data_used,Application_Advocacy,Advocacy_description,Application_Product_Service,Product_Service_Description,Application_Organizational_Optimization,Organizational_Optimization_Description,Application_Research,Research_Description,Application_Other,Other_Description
"East Asia & Pacific","New Zealand","High income","University of Auckland",Other,"The University of Auckland is New Zealand's largest university. ",Education,https://www.auckland.ac.nz,Auckland,Auckland,0000,"1000 ",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","University of Otago",Other,"The University of Otago in Dunedin is New Zealand's oldest university. ",Education,http://www.otago.ac.nz/,Dunedin,Otago,0000,"1000 ",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific","New Zealand","High income","200 Square",For-profit,"200 Square is an online real estate agent in New Zealand.","Housing/real estate",http://www.200square.co.nz/,Wellington,Wellington,2010,"1 to 10","Housing, Education",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific","New Zealand","High income",Nextspace,For-profit,"Nextspace helps clients make more of their business data, to unlock more value, reduce operational costs and improve efficiency. ",Geospatial/mapping,http://nextspace.co.nz/,Auckland,Auckland,2007,"11 to 50",Geospatial/mapping,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Bulimba Creek Catchment Coordinating Committee",Nonprofit,"Bulimba Creek Coordinating Catchment Committee (B4C) is a community not-for-profit Landcare and catchment group in Brisbane, Queensland (Australia), working to protect and enhance the urban environmen",Environment,http://bulimbacreek.org.au,Brisbane,Queensland,1997,"11 to 50",Environment,TRUE,"Promotes access to local environment data (e.",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Spatial Vision",For-profit,"Spatial Vision is a leading specialist in information and spatial technologies, integrating geographic and organizational data to provide business systems, advanced spatial analyses, reliable planning",Geospatial/mapping,http://www.spatialvision.com.au,Melbourne,Victoria,1999,"11 to 50","Geospatial/mapping, Government operations, Geospatial/mapping, Geospatial/mapping",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",RightShip,For-profit,"Since inception in 2001, RightShip has helped to significantly improve global maritime safety standards and has helped customers to manage risk by identifying and eliminating substandard ships from th","Transportation and logistics",http://www.rightship.com,Melbourne,Victoria,2001,"11 to 50",Transportation,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Envorinex,For-profit,"Envorinex is a plastics extrusion and injection moulding company using virgin and recycled materials for the production of innovative components and products, and is a leader in collecting and convert",Mining/manufacturing,http://envorinex.com,"George Town",Tasmania,2008,"1 to 10",Environment,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Google Australia New Zealand",For-profit,"Google’s a global technology company that provides a variety of services for people and business with the goal of making it as easy as possible for clients to find information.","Data/information technology",https://www.google.com.au/intl/en/about/,Pyrmont,"New South Wales",2002,1000+,Transportation,TRUE,,TRUE,"provides accesible products such as apps, sea",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",GreenBizCheck,For-profit,"GreenBizCheck provides cloud-based Supply Chain Management / Procurement, CSR Certification and Data Management solutions to help businesses reduce risk and cost. ","Data/information technology",http://www.greenbizcheck.com,"Currumbin Valley",Queensland,2007,"1 to 10","Government operations, Environment",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Herron Todd White",For-profit,"Herron Todd White is the largest independent property valuation and advisory group in Australia, aiming to provide the highest level of client service with integrity, professionalism and independence ","Housing/real estate",http://htw.com.au/,Chermside,Queensland,1974,"201 to 1000","Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","IAG Ltd",For-profit,"IAG is a general insurance company serving Australia, New Zealand and Asia helping people recover from natural disasters, accidents and loss.",Insurance,http://www.iag.com.au/,Sydney,"New South Wales",2000,1000+,"Weather, Environment, Environment, Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",IBM,For-profit,"With operations in over 170 countries, IBMers around the world invent and apply software, hardware, business consulting, and technology services to help forward-thinking enterprises, institutions and ","Data/information technology",http://www.ibm.com.au,Sydney,"New South Wales",1932,1000+,"Health/healthcare, Finance, Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Intermedium,For-profit,"Intermedium is an independent research and advisory firm which specializes in Australian government ICT markets at state and federal levels, providing high quality market data and expert consultation ","Research and consulting",http://www.intermedium.com.au,Sydney,"New South Wales",2004,"1 to 10","Finance, Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Geospatial Information & Technology Association",Nonprofit,"The Geospatial Information & Technology Association (GITA) is a worldwide not-for-profit organization that provides excellence in education and information exchange on the use and benefits of geospati",Geospatial/mapping,http://aecom.com,Sydney,"New South Wales",1966,"1 to 10","Geospatial/mapping, Weather, Geospatial/mapping",FALSE,,TRUE,"uses open data to provide expert network and ",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","KINSHIP Digital",For-profit,"KINSHIP digital integrates social media with the enterprise, focusing on business strategy and leveraging strengths and cultures of specific social platforms to enhance brand engagement and value, and","Research and consulting",http://www.kinshipdigital.com,"North Sydney","New South Wales",2009,"11 to 50","Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Enviro-dynamics,For-profit,"To provide environmental solutions in a changing environment, help business steer through the ""green tape,"" and support government to deliver timely and sustainable environmental policy and practice o",Environment,http://www.enviro-dynamics.com.au,Hobart,Tasmania,2009,"1 to 10","Environment, Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Gas Generators Australia",For-profit,"Gas Generators Australia is Australia’s fastest growing Gas Generation company offering the world’s leading Nitrogen, Oxygen and Hydrogen generation solutions, working with Shell, Petronas, BHP, h",Energy,http://www.gasgen.com.au,Perth,"Western Australia",2008,"11 to 50","Other, Health/healthcare",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Elafent,For-profit,"Elafent's pillars of capability are Government Transparency, Asset Management & Information Access. ",Governance,http://elefant.com,Sydney,"New South Wales",1998,"11 to 50","Public safety, Government operations, Finance",TRUE,"Makes use of open datasets to promote awarene",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Deloitte AU",For-profit,"Deloitte is the brand under which thousands of professionals across a network of member firms collaborate to provide audit, economics, financial advisory, human capital, tax and technology services.","Research and consulting",http://www2.deloitte.com/au/en.html,Sydney,"New South Wales",0000,1000+,Weather,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Landfill Gas Industries",For-profit,"Landfill Gas Industries provides landfill gas extraction, flaring and monitoring, design, supply and installation of systems. ",Energy,http://landfillgasindustries.com.au/,Willawong,Queensland,2009,"11 to 50",Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Link Digital",For-profit,"Link Digital is dedicated to the spirit of open communities and is led by the principles of openness, participation and collaboration. ","Data/information technology",http://www.linkdigital.com.au,Canberra,"Australian Capital Territory",2001,"1 to 10",Finance,FALSE,,TRUE,"uses open data to allow customers leverage th",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Omnilink,For-profit,"Omnilink is a successful property and location data management company providing enterprise data management and integration services to clients through the development of specific expertise and skills",Geospatial/mapping,http://www.omnilink.com.au/,Sydney,"New South Wales",1987,"11 to 50","Geospatial/mapping, Other, Government operations, Environment, Demographics and social",FALSE,,FALSE,"Uses open datas to provide enterprise data ma",TRUE,"The company has developed specific expertise ",FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Parklands Albury Wodonga Ltd ",Nonprofit,"Parklands Albury Wodonga is a community managed, community driven social enterprise that proactively creates opportunities to address complex social issues through the process of tackling environmenta",Environment,http://www.parklands-alburywodonga.org.au,Wodonga,Victoria,1997,"1 to 10","Health/healthcare, Geospatial/mapping, Environment, Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Peclet Technology",For-profit,"Peclet helps share all types of data with clients and community and brings data to life through maps, charts, fraps and APIs. ","Data/information technology",http://www.peclet.com.au/,"North Sydney","New South Wales",2014,"1 to 10",Other,FALSE,,TRUE,"uses open data to provide data sharing compon",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",PolyGeo,For-profit,"PolyGeo provides specialist ArcGIS services (training, consulting and technical support) of high quality at affordable prices to clients in Brisbane, Queensland, Australia and internationally.",Geospatial/mapping,http://polygeo.com.au,Brisbane,Queensland,2012,"1 to 10",Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","PSMA Australia",For-profit,"PSMA Australia offers authoritative, national location data sets and related services, which underpin an ever-expanding range of business solutions and government services. ","Data/information technology",http://www.psma.com.au/,Canberra,"Australian Capital Territory",1992,"11 to 50","Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Data Analysis Australia",For-profit,"Data Analysis Australia is the leading strategic information consultancy in Australia utilizing skills in mathematics, statistics and data management.","Research and consulting",http://www.daa.com.au,Perth,"Western Australia",1988,"11 to 50","Weather, Economics , Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Cribbing and Matting Co. ",For-profit,"Cribbing and Matting Co mission is to create value for our customers by delivering innovative safe cribbing, shoring, stabilization systems and modular matting products manufactured from recycled plas",Mining/manufacturing,http://www.cribandmatco.com.au,Sydney,"New South Wales",2013,"1 to 10","Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Cook Medical",For-profit,"Cook Medical is dedicated to bold leadership in pioneering innovative medical solutions to enhance patient care worldwide. ",Healthcare,http://www.cookmedical.com/,Brisbane,Queensland,1963,"201 to 1000",Health/healthcare,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Construction Skills Queensland",Nonprofit,"Construction Skills Queensland’s core programs focus on attracting, developing and retaining new entrants and existing workers to underpin the future prosperity of building and construction in Queen","Housing/real estate",http://www.csq.org.au/,"West End",Queensland,1998,"11 to 50","Housing, Education, Demographics and social",FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
"East Asia & Pacific",Australia,"High income","Community Insight Australia",Other,"Community Insight Australia is a social enterprise that will translate the UK software tool Community Insight for use with Australian communities to collate and map publicly available social data.","Data/information technology",www.communityinsightaustralia.org,Sydney,"New South Wales",2014,"1 to 10","Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Cathodic Anodes Australasia",For-profit,"Cathodic Anodes Australiasia designs anodes based on Lean Manufacturing principals, where work flow efficiency gains and minimal down time has lead to significantly shorter lead times and reduced ener",Mining/manufacturing,www.cathodicanodes.com.au,"Kunda Park",Queensland,1984,"11 to 50","Other, Transportation",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Cardno,For-profit,"Cardno is an ASX-200 professional infrastructure and environmental services company with expertise in the development and improvement of physical and social infrastructure for communities around the w","Research and consulting",http://www.cardno.com,Brisbane,Queensland,1945,1000+,"Weather, Housing, Geospatial/mapping, Environment",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","BMT WBM",For-profit,"BMT WBM is a leading edge consultancy in mechanical, maritime, water and environmental engineering and hydraulics.","Research and consulting",http://www.bmtwbm.com.au/,Brisbane,Queensland,1969,"51 to 200","Geospatial/mapping, Environment",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Bass Coast Landcare Network Inc",Nonprofit,"A community engaged in supporting a productive, biodiverse landscape incorporating sustainable agricultural practices and innovative environmental enterprises. ",Environment,http://www.basscoastlandcare.org.au,Bass,Victoria,2006,"11 to 50","Weather, Legal, Environment",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Bainbridge Consulting",For-profit,"Bainbridge Consulting's goal is simple - tell stories with data!","Research and consulting",http://www.bainbridge.com.au,Brisbane,Queensland,2002,"1 to 10","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Australian Medical Association (AMA) - Federal",Nonprofit,"The Australian Medical Association (AMA) is a membership organization that exists to promote and protect the professional interests of doctors and the health care needs of patients and communities. ",Healthcare,www.ama.com.au,Canberra,"Australian Capital Territory",1962,"11 to 50","Health/healthcare, Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Australian Library and Information Association",Nonprofit,"The objects of the Association are to: promote the free flow of information and ideas in the interest of all Australians and a thriving culture, economy and democracy and to promote and improve the se",Governance,https://www.alia.org.au/,Canberra,"Australian Capital Territory",1937,"11 to 50","Health/healthcare, Economics , Demographics and social",TRUE,"Work with all kinds of libraries - school - p",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Australian Information Industry Association",For-profit,"AIIA seeks a future where a thriving, sustainable and influential information industry accelerates the digital economy to enhance Australia’s productivity and sustainability, and to reduce barriers ","Data/information technology",https://www.aiia.com.au/,Canberra,"Australian Capital Territory",1985,"11 to 50","Economics ",TRUE,"Works with all kinds of libraries, including ",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","AuScope Ltd.",Nonprofit,"AuScope Limited is a non-profit company formed to facilitate the implementation of a world-class infrastructure system for earth science through the delivery of a range of technologies and capabilitie","Research and consulting",http://www.auscope.org.au/site/,Melbourne,Victoria,2007,"1 to 10","Science and research, Geospatial/mapping",FALSE,,TRUE,"uses open geospace data to create geospace ap",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Arup,For-profit,"Arup is a multinational professional services firm providing engineering, design, planning, project management and consulting services for all aspects of the built environment.","Research and consulting",http://digital.arup.com,Sydney,"New South Wales",1946,1000+,Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Applied Land Systems",For-profit,"Applied Land Systems Pty Ltd has been established to meet a growing need in the community for specialist services related to measurement, geographic information systems (GIS), information system desig",Geospatial/mapping,http://www.appliedlandsystems.com.au/,"Tuross Head","New South Wales",2008,"1 to 10","Geospatial/mapping, Housing, Geospatial/mapping",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Alexander & Symonds",For-profit,"Alexander Symonds is one of the leading and longest serving surveying consultancies in the country offering consulting services in all fields of surveying including land development, precise engineeri",Geospatial/mapping,www.alexander.com.au,Adelaide,"South Australia",1932,"51 to 200","Geospatial/mapping, Environment",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",PublicKnowledge,For-profit,"The vision of PublicKnowledge is to be part of an on-line collaborative democracy, with the mission of creating a clearinghouse of budget and operational information for policy and budget analysis.",Governance,www.publicknowledge.com.au,Canberra,"Australian Capital Territory",2013,"1 to 10","Government operations",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Revelation Computing",For-profit,"Revelation Computing develops mobile apps for education and consumer use. ","Data/information technology",http://www.revcomputing.com/,Brisbane,Queensland,1975,"1 to 10",Education,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Rhino Linings Australasia",For-profit,"Manufacturer and Distributor of spray applied Polyurethane and Polyurea chemicals and spray equipment for military, mining, waste water, potable water, building encapsulation, waterproofing and floori",Mining/manufacturing,http://www.rhinolinings.com.au,Molendinar,Queensland,2001,"11 to 50","Other, Transportation, Geospatial/mapping, Geospatial/mapping, Environment",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","RIA Mobile GIS",For-profit,"RIA Mobile GIS is a unique business that focuses on information systems for field workers and the business operations that support them by specializing in the technologies that enable field service ma",Geospatial/mapping,www.riamobilegis.com.au,Hobart,Tasmania,2000,"1 to 10",Geospatial/mapping,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Canberra IQ",For-profit,"Canberra IQ delivers the most comprehensive and efficient e-digest of Australian federal politics and policy, with the majority of its content unreported by other media.","Media and communications",www.canberraiq.com.au,Canberra,"Australian Capital Territory",2011,"1 to 10",Agriculture,FALSE,,TRUE,"collects governmental, private and public doc",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Solais Geoinformatics",For-profit,"The mission of Solais Geoinformatics is to develop information delivery platforms that enhance business, social and environmental outcomes. ",Geospatial/mapping,http://solais.com.au,Perth,"Western Australia",2015,"1 to 10","Geospatial/mapping, Demographics and social, Agriculture",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Southern New England Landcare",Nonprofit,"Southern New England Landcare's mission is to lead, connect and enable communities to meet their sustainable living goals.",Environment,http://snelcc.org.au/web3/,Armidale,"New South Wales",1993,"1 to 10",Agriculture,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Strategy&,For-profit,"Together, PwC and Strategy& are helping clients develop practical strategies to address their biggest challenges and turn ideas into action through the implementation of practical strategy. ","Research and consulting",http://www.strategyand.pwc.com/,Sydney,"New South Wales",2013,"51 to 200","Other, Public safety, International/global development, Finance, Economics , Economics , Demographics and social",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income","Survey Graphics",For-profit,"Survey Graphics is primarily a mapping (aerial survey) organization working with remotely sensed data (aerial & terrestrial imagery, LiDAR, radar, satellite & multi-spectral data) on a day-to-day basi",Geospatial/mapping,www.surveygraphics.com.au,Perth,"Western Australia",1987,"1 to 10",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",TransitTimes+,For-profit,"TransitTimes+ uses open data to provide public transportation data on iOS and Android to commuters across Australia. ","Data/information technology",www.transittimesapp.com,Adelaide,"South Australia",2010,"1 to 10",Transportation,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",TripMate,For-profit,"It is TripMate's mission to make public transport a viable option for commuters with the belief that cities are more liveable and more enjoyable with every car is taken off the road in exchange for th","Transportation and logistics",http://www.tripmate.info/,Sydney,"New South Wales",2012,"1 to 10",Transportation,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Truii,For-profit,"Truii.com is a web based data platform providing tools for data management, data visualization and team based data collaboration for cross-organizational project teams who are non-data specialists.","Data/information technology",http://truii.com,Brisbane,Queensland,2013,"1 to 10","Geospatial/mapping, Finance",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Wattblock,For-profit,"Wattblock aims to improve energy efficiency in multi-tenant residential buildings using analytics and big data to reduce building maintenance levies for owners by 10%m as well as reducing carbon emiss",Energy,wattblock.com.au,Sydney,"New South Wales",2014,"1 to 10","Housing, Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Yamatji Marlpa Aboriginal Corporation",Nonprofit,"The mission of Yamatji Marlpa Aboriginal Corporation is to work with Yamatji and Marlpa Aboriginal people to pursue: Recognition and acceptance of Yamatji and Marlpa culture, secure a strong future fo","Arts and culture",www.ymac.org.au,Perth,"Western Australia",1994,"51 to 200",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income",Alantgeo,For-profit,"Alantgeo specializes in delivering web and mobile geospatial mapping and visualization solutions, allowing anyone to design and publish maps.",Geospatial/mapping,http://alantgeo.com.au,Sydney,"New South Wales",2015,"1 to 10",Geospatial/mapping,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Aerometrex,For-profit,"The mission of Aerometrex is to provide professional, accurate digital image mapping and geospatial engineering solutions to clients by exploiting both existing and emerging air and ground imaging tec",Geospatial/mapping,www.aerometrex.com.au,Adelaide,"South Australia",1980,"11 to 50",Geospatial/mapping,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Advance Cairns",Nonprofit,"Advance Cairns is the peak regional economic development, investment attraction and advocacy organization for Tropical North Queensland, facilitating connections between private enterprise, industry, ",Governance,http://www.advancecairns.com,Cairns,Queensland,2000,"1 to 10","Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","ADG Engineers (Aust) Pty Ltd",For-profit,"ADE Engineers (Aust) Pty Ltd communicate across offices, states and countries with colleagues, partners and clients as they continually learn new approaches to design, collaboration, with engineers, d","Housing/real estate",https://www.adjce.com/,Brisbane,Queensland,2002,"51 to 200",Housing,FALSE,,FALSE,"Use data from clients' requirements and techn",TRUE,,FALSE,,FALSE,
"East Asia & Pacific","Hong Kong","High income",GigaScience,Nonprofit,"Data and reproducible research publisher from the BGI, using its GigaDB.org portal to rapidly disseminate research data, software and computational workflows from the fields of biological and biomedic","Scientific research",http://www.gigasciencejournal.com/,"Hong Kong",,2011,"1 to 10",,FALSE,,TRUE,"uses and republishes open data from big data ",FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Cambodia,"Low income","Open Development Cambodia",Nonprofit,"Open Development Cambodia is an online hub independently compiling freely available data in a ‘one-stop shop’ to provide the public with up-to-date, accurate information about Cambodia and its eco",Governance,http://www.opendevelopmentcambodia.net/maps/,"Phnom Penh","Phnom Penh",2015,"11 to 50",Other,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Japan,"High income","Vitalizing Local Economy Organization by Open Data & Big Data (VLED)",Other,"VLED is a General Incorporated Association by gathering 9 leading ICT companies in Japan. Its aim is to promote opening data owned by public entities, and to advancing local vitalization and activatio","Research and consulting",http://www.vled.or.jp,Tokyo,,2014,"1 to 10",Other,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,
"East Asia & Pacific","New Zealand","High income","National Institute of Demographic and Economic Development",Other,"National institute based at the University of Waikato that undertakes research at the interface of population and economics to help inform choices and responses to the demographic, social and economic",Education,http://waikato.ac.nz/nidea,Hamilton,Waikato,2009,"11 to 50","Economics , Demographics and social, Demographics and social, Economics , Economics , Demographics and social, Demographics and social, Economics , Economics , Demographics and social, Demographics and social",FALSE,,FALSE,,FALSE,,TRUE,"Demographic and economic research",FALSE,
"East Asia & Pacific",China,"Upper middle income","Beijing City Map",Nonprofit,"The Beijing City Lab (BCL) is a research network, dedicated to studying, but not limited to, China’s capital Beijing. The Lab focuses on employing interdisciplinary methods to quantify urban dynamic","Scientific research",http://www.beijingcitylab.com/,北京,北京市,2013,"51 to 200","Science and research, Geospatial/mapping, Economics ",FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
"East Asia & Pacific",Australia,"High income","Open Data Institute Queensland (ODIQ)",For-profit,"ODIQ exists to catalyse open data for the benefit of everyone, as an effective independent broker for business, government, research and entrepreneurs to collaborate and solve problems using open data","Data/information technology",http://odiqueensland.org.au,Brisbane,Queensland,2014,"1 to 10","Manufacturing, Legal, Legal, International/global development, International/global development, Housing, Housing, Health/healthcare, Health/healthcare, Government operations, Government operations, Geospatial/mapping, Geospatial/mapping, Finance, Finance, Environment, Environment, Energy, Energy, Education, Education, Economics , Economics , Demographics and social, Demographics and social, Consumer, Consumer, Business, Business, Arts and culture, Arts and culture, Agriculture, Agriculture",TRUE,"Facilitating connections across multi-sectors",TRUE,"We develop proof of concept projects to demon",TRUE,"We conduct education and training activities ",FALSE,,FALSE,
"East Asia & Pacific",Australia,"High income",Weatherzone,For-profit,"Weatherzone is one of the main providers of meteorological services in Australia.",Weather,http://www.weatherzone.com.au/,Sydney,"New South Wales",1998,"11 to 50",Weather,FALSE,,TRUE,"app aggregates weather data from various gove",FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"WeatherRisk Explore Inc.",For-profit,"Weather risk is promotes value-added weather services for businesses, media and local meteorological companies.",Weather,http://www.tenki.tw,Taipei,,2004,,"Weather, Transportation, Agriculture, Weather, Weather",FALSE,,FALSE,,TRUE,"Using open data from Google Trend or social n",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"udnDigital Co., Ltd.",For-profit,"udnDigital Co., Ltd. operates online news and content service platforms.","Media and communications",http://www.udndigital.com.tw/,Taipei,,2004,,"Transportation, Weather, Consumer, Government operations, Arts and culture",FALSE,,FALSE,,TRUE,"marketing intelligence services.",FALSE,,FALSE,
"East Asia & Pacific","Papua New Guinea","Lower middle income","Transparency International - Papua New Guinea",Nonprofit,"Transparency International Papua New Guinea (TI PNG) is a chapter of TI, formed by a group of concerned citizens, with the aim of combating corruption and promoting openness, honesty and accountabilit",Governance,http://www.transparencypng.org.pg/index.php/projects/archives/open-parliament-project,"Port Moresby","National Capital District",1997,"11 to 50","Government operations",TRUE,"Uses open data to create and work with broad ",FALSE,,FALSE,,FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Taiwan Computer Association",For-profit,"The Taipei Computer Association (TCA) is engaged in various fields such as software, 
hardware, semiconductors and components, manufacture, sales, network 
communication service and etc.","Data/information technology",http://www.tca.org.tw,Taipei,,1974,1000+,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income","Swandiri Institute",Nonprofit,"Swandiri Institute's works is driven by the ideal to strive for sustainable environment, anti-corruption and democracy and putting gender prespective as the crosscutting to all our network and liabili","Research and consulting",http://www.swandiri.org/,"Kalimantan Barat","West Kalimantan",2015,"1 to 10",,FALSE,,FALSE,,FALSE,,TRUE,"Uses open data to provide consultancy and rec",FALSE,
"East Asia & Pacific",Taiwan,Null,"SMS Taiwan",For-profit,"SMS Taiwan is dedicated to providing medical services to the ederly and active seniors",Healthcare,http://www.cocoyaku.com.tw,Taipei,,2012,"11 to 50",Health/healthcare,FALSE,,FALSE,,FALSE,,TRUE,"uses open data of drug interactions in inform",FALSE,
"East Asia & Pacific",Taiwan,Null,"Sinotech Engineering Services, Ltd.",For-profit,"Sinotech Engineering Services provides services in the following areas: climate change adaptation, flooding and tsunami modeling, risk management and engineering, disaster prevention, hydraulic system","Research and consulting",http://www.sinotech-eng.com/,Taipei,,2008,,"Science and research, Housing, Geospatial/mapping",FALSE,,FALSE,,TRUE,"The company uses disaster mapping data from N",FALSE,,FALSE,
"East Asia & Pacific",Indonesia,"Lower middle income",Sinergantara,Nonprofit,"Sinergantara is a non-government organization that works in analysis and by providing knowledge on development policies and practices. Sinergantara concentrates on governance, social development, and ",Governance,http://sinergantara.or.id/,"Jawa Barat",,2015,,"Government operations",FALSE,,FALSE,,TRUE,"The company uses disaster mapping data from N",FALSE,,FALSE,
"East Asia & Pacific",Taiwan,Null,"Root International Information",For-profit,"Root International Information Company is an information services firm.","Data/information technology",http://www.home7-11.com.tw/,Taipei,,2015,,"Health/healthcare, Education, Business, Public safety, Housing",FALSE,,FALSE,"Uses open data to provide real estate informa",FALSE,,FALSE,,FALSE,
